Brand,Lipstick Name,Shade,Rating
,Lipstick Color Matte,81 Diamond,4.3
,Exclusive Matte Lip Cream,03 See You Latte - Reformulation in May 2023,3.6
,Lipstick Color Matte,90 Crystal,4
,Creamatte Lip Cream,Fuzzy Wuzzy,4.3
,The Powder Mattes by Color Sensational,Touch of Nude,4.1
,The Powder Mattes by Color Sensational,Toasted Brown,4.6
,Lip Cream,11 Gaudi Orange,4.1
,Creamatte Lip Cream,MauveLous,4.1
,Intense Matte Lip Cream,004 Vanity,4.6
,Exclusive Matte Lip Cream,09 Mauve On - Reformulation in May 2023,3.98
,Lip Cream,01 Chic Rose,3.7
,Soft Matte Lip Cream,Antwerp,3.7
,Mattedorable Lipcream (Boba Edition),02 Brown Sugar,4.7
,Superstay Matte Ink Liquid Lipstick,Versatile,4.5
,Exclusive Matte Lip Cream,11 Oh So Nude - Reformulation in May 2023,3.8
,Intense Matte Lip Cream,011 Pompous,4.6
,HI-MATTE Lip Cream,02 Azalea,3.7
,Day to Day Series Keychain Lip Bullet,03 Extraordinary,5
,Lip Coat,Butter Fudge,4.2
,Day to Day Series Lite Matte Lip Cream,06 Attitude,4.2
